EPOCH_CUTS  SizeLower  MeanScaledWidthLower  MeanScaledWidthUpper  MeanScaledLengthLower  MeanScaledLengthUpper  MaxHeightLower  S6A_RingSize  RBM_SearchWindowSqCut
OA_SOFT       200             0.05                   1.1                    0.05                   1.3                 7             0.17           0.03 
OA_MEDIUM     400             0.05                   1.1                    0.05                   1.3                 7             0.10           0.01 
OA_HARD       1000            0.05                   1.1                    0.05                   1.4                 0             0.10           0.01 
NA_SOFT       200             0.05                   1.1                    0.05                   1.3                 7             0.17           0.03 
NA_MEDIUM     400             0.05                   1.1                    0.05                   1.3                 7             0.10           0.01 
NA_HARD       1000            0.05                   1.1                    0.05                   1.4                 0             0.10           0.01 
UA_SOFT       400             0.05                   1.1                    0.05                   1.3                 7             0.17           0.03 
UA_MEDIUM     700             0.05                   1.1                    0.05                   1.3                 7             0.10           0.01 
UA_HARD       1200            0.05                   1.1                    0.05                   1.4                 0             0.10           0.01 
  
